city,datetime,aqi,pm25,pm10,co,no2,o3,so2
Prayagraj,2026-02-12 18:30:15.774449,,35.9,41.3,451.0,9.3,98.0,10.8
Gorakhpur,2026-02-12 18:30:17.919447,,36.8,39.5,286.0,8.4,114.0,12.1
Deoghar,2026-02-12 18:30:20.685931,,46.4,52.0,296.0,8.7,125.0,10.5
Dhanbad,2026-02-12 18:30:22.629961,,48.8,55.3,233.0,25.6,95.0,28.2
Siliguri,2026-02-12 18:30:25.191150,,54.0,59.0,927.0,16.9,131.0,10.2
Asansol,2026-02-12 18:30:28.262385,,46.3,52.3,318.0,17.7,105.0,23.5
Jamshedpur,2026-02-12 18:30:30.518432,,50.5,60.5,317.0,25.7,107.0,32.8
Cuttack,2026-02-12 18:30:33.179691,,68.0,70.3,520.0,15.4,131.0,19.4
Rourkela,2026-02-12 18:30:35.841887,,39.2,45.9,781.0,17.2,96.0,14.8
Sambalpur,2026-02-12 18:30:37.692388,,62.4,65.9,499.0,11.0,141.0,25.8
Aurangabad,2026-02-12 18:30:39.838188,,38.4,39.5,412.0,4.7,150.0,8.7
Nashik,2026-02-12 18:30:42.189488,,36.7,37.6,365.0,9.5,148.0,8.8
Solapur,2026-02-12 18:30:44.853811,,25.8,26.8,402.0,4.6,148.0,7.6
Kolhapur,2026-02-12 18:30:47.207497,,32.7,33.9,385.0,19.6,118.0,7.7
Vadodara,2026-02-12 18:30:49.571156,,61.5,62.2,436.0,24.3,135.0,15.0
Rajkot,2026-02-12 18:30:51.711646,,36.3,38.2,295.0,5.4,136.0,10.6
Gandhinagar,2026-02-12 18:30:54.169517,,55.6,57.2,608.0,19.0,111.0,16.5
Tiruchirappalli,2026-02-12 18:30:56.332480,,31.0,32.5,286.0,9.1,117.0,16.4
Salem,2026-02-12 18:30:58.787555,,19.9,22.4,246.0,8.8,106.0,8.2
Erode,2026-02-12 18:31:01.949398,,21.5,24.1,242.0,9.7,116.0,5.1
Tirunelveli,2026-02-12 18:31:04.812479,,20.3,22.4,223.0,5.8,114.0,4.6
